start	stop	strand	name	score	mean coverage	recovery
31	826	+	amplicon_0	0	1319	96.98
705	1476	+	amplicon_28	1	1546	100.0
1257	1960	+	amplicon_1	0	1342	100.0
1706	2410	+	amplicon_29	1	972	100.0
2140	2904	+	amplicon_2	0	1186	100.0
2715	3484	+	amplicon_30	1	313	100.0
3144	3885	+	amplicon_3	0	118	100.0
3685	4423	+	amplicon_31	1	393	100.0
4282	5025	+	amplicon_4	0	2507	100.0
4775	5550	+	amplicon_32	1	4779	100.0
5293	6038	+	amplicon_5	0	2330	100.0
5795	6560	+	amplicon_33	1	1457	100.0
6363	7120	+	amplicon_6	0	573	100.0
7000	7770	+	amplicon_34	1	147	100.0
7577	8328	+	amplicon_7	0	166	100.0
8174	8890	+	amplicon_35	1	105	96.51
8694	9400	+	amplicon_8	0	306	98.87
9221	9969	+	amplicon_36	1	1228	100.0
9644	10387	+	amplicon_9	0	2359	100.0
10078	10836	+	amplicon_37	1	1620	100.0
10670	11469	+	amplicon_10	0	1217	99.25
11221	11945	+	amplicon_38	1	2421	99.17
11796	12560	+	amplicon_11	0	1535	96.99
12419	13185	+	amplicon_39	1	326	32.59
13034	13832	+	amplicon_12	0	901	97.37
13479	14203	+	amplicon_40	1	848	100.0
14015	14787	+	amplicon_13	0	510	100.0
14620	15362	+	amplicon_41	1	761	100.0
15089	15858	+	amplicon_14	0	2608	100.0
15532	16258	+	amplicon_42	1	3366	100.0
16007	16719	+	amplicon_15	0	1165	99.86
16570	17343	+	amplicon_43	1	1058	100.0
17149	17854	+	amplicon_16	0	2084	100.0
17561	18311	+	amplicon_44	1	2484	100.0
18100	18899	+	amplicon_17	0	1283	100.0
18674	19402	+	amplicon_45	1	1164	100.0
19276	19981	+	amplicon_18	0	2015	100.0
19844	20632	+	amplicon_46	1	708	100.0
20462	21226	+	amplicon_19	0	1215	100.0
20889	21608	+	amplicon_47	1	2287	100.0
21294	22098	+	amplicon_20	0	1146	97.64
21893	22649	+	amplicon_48	1	628	99.08
22432	23225	+	amplicon_21	0	538	99.62
23103	23814	+	amplicon_49	1	107	100.0
23489	24202	+	amplicon_22	0	145	100.0
24042	24808	+	amplicon_50	1	1235	100.0
24545	25283	+	amplicon_23	0	2357	100.0
25053	25791	+	amplicon_51	1	899	100.0
25665	26366	+	amplicon_24	0	1096	100.0
26197	26960	+	amplicon_52	1	851	97.12
26820	27602	+	amplicon_25	0	327	86.21
27448	28199	+	amplicon_53	1	1257	100.0
27986	28723	+	amplicon_26	0	815	98.78
28474	29232	+	amplicon_54	1	671	100.0
29101	29847	+	amplicon_27	0	1592	93.31
